Time (s),Amplitude (V)
8.60965561377545e-05,0.0
8.610655573777049e-05,0.0
8.61165553377865e-05,0.0
8.612655493780249e-05,0.0
8.613655453781849e-05,0.0
8.61465541378345e-05,0.0
8.615655373785049e-05,0.0
8.61665533378665e-05,0.0
8.617655293788249e-05,-0.016666666666666607
8.618655253789848e-05,0.0
8.619655213791449e-05,0.0
8.620655173793048e-05,0.0
8.621655133794649e-05,0.0
8.622655093796249e-05,0.0
8.623655053797849e-05,0.0
8.624655013799449e-05,0.016666666666666607
8.625654973801048e-05,0.0
8.626654933802649e-05,0.0
8.627654893804248e-05,0.0
8.628654853805849e-05,0.0
8.629654813807448e-05,0.0
8.630654773809048e-05,0.016666666666666607
8.631654733810648e-05,0.0
8.632654693812248e-05,0.0
8.633654653813848e-05,-0.016666666666666607
8.634654613815448e-05,0.0
8.635654573817047e-05,0.0
8.636654533818648e-05,0.0
8.637654493820247e-05,0.0
8.638654453821848e-05,0.0
8.639654413823447e-05,0.0
8.640654373825047e-05,0.0
8.641654333826648e-05,0.0
8.642654293828247e-05,0.0
8.643654253829848e-05,0.016666666666666607
8.644654213831447e-05,0.016666666666666607
8.645654173833046e-05,0.0
8.646654133834647e-05,0.016666666666666607
8.647654093836247e-05,0.0
8.648654053837847e-05,0.0
8.649654013839447e-05,0.0
8.650653973841047e-05,0.0
8.651653933842647e-05,0.0
8.652653893844246e-05,0.0
8.653653853845847e-05,0.0
8.654653813847446e-05,0.0
8.655653773849047e-05,0.0
8.656653733850646e-05,0.016666666666666607
8.657653693852246e-05,0.0
8.658653653853847e-05,0.0
8.659653613855446e-05,0.0
8.660653573857047e-05,0.0
8.661653533858646e-05,0.0
8.662653493860245e-05,0.0
8.663653453861846e-05,0.0
8.664653413863446e-05,0.0
8.665653373865046e-05,0.0
8.666653333866646e-05,0.0
8.667653293868245e-05,0.0
8.668653253869846e-05,0.0
8.669653213871445e-05,0.0
8.670653173873046e-05,0.0
8.671653133874645e-05,0.0
8.672653093876246e-05,0.0
8.673653053877845e-05,0.0
8.674653013879445e-05,0.0
8.675652973881046e-05,0.0
8.676652933882645e-05,0.016666666666666607
8.677652893884246e-05,0.0
8.678652853885845e-05,0.0
8.679652813887444e-05,0.0
8.680652773889045e-05,0.0
8.681652733890645e-05,-0.016666666666666607
8.682652693892245e-05,0.0
8.683652653893845e-05,0.0
8.684652613895444e-05,0.0
8.685652573897045e-05,0.0
8.686652533898644e-05,0.0
8.687652493900245e-05,0.0
8.688652453901844e-05,0.016666666666666607
8.689652413903444e-05,0.0
8.690652373905044e-05,0.0
8.691652333906644e-05,0.0
8.692652293908245e-05,0.0
8.693652253909844e-05,0.016666666666666607
8.694652213911445e-05,0.0
8.695652173913044e-05,0.0
8.696652133914643e-05,0.0
8.697652093916244e-05,0.0
8.698652053917844e-05,0.0
8.699652013919444e-05,0.0
8.700651973921044e-05,0.016666666666666607
8.701651933922643e-05,0.0
8.702651893924244e-05,0.0
8.703651853925843e-05,0.0
8.704651813927444e-05,0.0
8.705651773929043e-05,0.0
8.706651733930643e-05,0.0
8.707651693932243e-05,0.0
8.708651653933843e-05,0.0
8.709651613935444e-05,0.0
8.710651573937043e-05,0.016666666666666607
8.711651533938642e-05,0.0
8.712651493940243e-05,0.0
8.713651453941842e-05,0.0
8.714651413943443e-05,0.0
8.715651373945043e-05,0.016666666666666607
8.716651333946642e-05,0.0
8.717651293948243e-05,0.0
8.718651253949842e-05,0.0
8.719651213951443e-05,0.016666666666666607
8.720651173953042e-05,0.016666666666666607
8.721651133954643e-05,0.0
8.722651093956242e-05,0.0
8.723651053957842e-05,0.0
8.724651013959442e-05,0.0
8.725650973961042e-05,0.0
8.726650933962643e-05,0.016666666666666607
8.727650893964242e-05,0.0
8.728650853965841e-05,0.0
8.729650813967442e-05,0.0
8.730650773969041e-05,0.0
8.731650733970642e-05,0.0
8.732650693972242e-05,0.0
8.733650653973841e-05,0.0
8.734650613975442e-05,0.0
8.735650573977041e-05,0.0
8.736650533978642e-05,0.0
8.737650493980241e-05,-0.016666666666666607
8.73865045398184e-05,0.0
8.739650413983441e-05,0.0
8.74065037398504e-05,0.0
8.741650333986641e-05,0.0
8.742650293988241e-05,0.0
8.743650253989842e-05,0.0
8.744650213991441e-05,0.016666666666666607
8.74565017399304e-05,0.0
8.746650133994641e-05,0.0
8.74765009399624e-05,0.0
8.748650053997841e-05,0.0
8.74965001399944e-05,0.0
8.75064997400104e-05,0.016666666666666607
8.75164993400264e-05,0.0
8.75264989400424e-05,0.0
8.753649854005841e-05,0.0
8.75464981400744e-05,0.0
8.75564977400904e-05,0.0
8.75664973401064e-05,0.016666666666666607
8.75764969401224e-05,0.0
8.75864965401384e-05,0.0
8.75964961401544e-05,0.0
8.760649574017039e-05,0.0
8.76164953401864e-05,0.0
8.762649494020239e-05,0.0
8.76364945402184e-05,0.0
8.76464941402344e-05,0.0
8.76564937402504e-05,0.0
8.76664933402664e-05,0.0
8.767649294028239e-05,0.0
8.76864925402984e-05,0.0
8.769649214031439e-05,0.0
8.77064917403304e-05,0.0
8.771649134034639e-05,0.0
8.772649094036239e-05,0.016666666666666607
8.773649054037839e-05,0.0
8.774649014039439e-05,0.0
8.77564897404104e-05,0.0
8.776648934042639e-05,0.016666666666666607
8.777648894044238e-05,0.0
8.778648854045839e-05,0.0
8.779648814047438e-05,0.0
8.780648774049039e-05,0.0
8.781648734050638e-05,0.0
8.782648694052238e-05,0.0
